SKU,Name,Product Type,Website,Status,3D Model DWG,3D Model Object,BIM Objects,SketchUp,image-src,imagee-src,sku,,,
LCS-05,Tessin Stacking Lounge Stool,configurable,Dezign,Disabled,Tessin_Stacking_Lounge_Stool_3D.zip,,,,,https://dezigndistrict.com/pub/media/catalog/product/t/e/tessin-loungestool-dimension_1.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,tessin-loungestool-dimension_1.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/tessin-loungestool-dimension_1.jpg
LCS-10,Tessin Coffee Table,simple,B2B Dezign,Disabled,Carter_Square_Coffee_Table_3D.zip,Tessin_Square_Coffee_Table_3DObject.zip,,,,https://dezigndistrict.com/pub/media/catalog/product/c/a/carter-coffee-table-front.png,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,carter-coffee-table-front.png,https://storage.googleapis.com/pimassest1/image/featured_image_global/carter-coffee-table-front.png
LCS-11,Tessin Side Table,simple,B2B Dezign,Disabled,Carter_Square_Side_Table_3D.zip,Tessin_Square_Side_Table_3DObject.zip,,,,https://dezigndistrict.com/pub/media/catalog/product/c/a/carter-sidetable-front.png,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,carter-sidetable-front.png,https://storage.googleapis.com/pimassest1/image/featured_image_global/carter-sidetable-front.png
NKS-28,Grace Dining Armchair,configurable,B2B Dezign,Enabled,Grace_Dining_Armchair_3D.zip,Grace_Dining_Armchair_3DObject.rar,,,,https://b2b.triconville.com/media/cache/attachment/resize/3018/product_gallery_main/5ee6efec56142112780245.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,5ee6efec56142112780245.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/5ee6efec56142112780245.jpg
NKS-18,Grace Dining Side Chair,configurable,B2B Dezign,Enabled,Grace_Dining_Side_Chair_3D.zip,,,,,https://b2b.triconville.com/media/cache/attachment/resize/192/product_gallery_main/5ca70dbb7d7b4785119130.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,5ca70dbb7d7b4785119130.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/5ca70dbb7d7b4785119130.jpg
NKS-11,Grace Single Seater,configurable,B2B Dezign,Enabled,Grace_Single_Seater_3D.zip,Grace_Single_Seater_3DObject.rar,,,,https://b2b.triconville.com/media/cache/attachment/resize/197/product_gallery_main/5ca70e6655beb117146742.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,5ca70e6655beb117146742.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/5ca70e6655beb117146742.jpg
NKS-12,Grace 2 Seater,configurable,B2B Dezign,Enabled,Grace_2_Seater_3D.zip,Grace_2_Seater_3DObject.rar,,,,https://b2b.triconville.com/media/cache/attachment/resize/203/product_gallery_main/5ca70eda802ee245765089.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,5ca70eda802ee245765089.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/5ca70eda802ee245765089.jpg
NKS-13,Grace 3 Seater,configurable,B2B Dezign,Enabled,Grace_3_Seater_3D.zip,Grace_3_Seater_3DObject.rar,,,,https://b2b.triconville.com/media/cache/attachment/resize/209/product_gallery_main/634688b0c7fe8873038760.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,634688b0c7fe8873038760.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/634688b0c7fe8873038760.jpg
NKS-27-L,Grace Daybed Left,configurable,B2B Dezign,Enabled,Grace_Daybed_Left_3D.zip,,,,,https://b2b.triconville.com/media/cache/attachment/resize/215/product_gallery_main/5ca70fc20ecce715991344.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,5ca70fc20ecce715991344.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/5ca70fc20ecce715991344.jpg
NKS-27-R,Grace Daybed Right,configurable,B2B Dezign,Enabled,Grace_Daybed_Right_3D.zip,,,,,https://b2b.triconville.com/media/cache/attachment/resize/220/product_gallery_main/5ca7101f74595842537126.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,5ca7101f74595842537126.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/5ca7101f74595842537126.jpg
AZL-11,Alzette Lounger,configurable,B2B Dezign,Enabled,Alzette_Lounger_3D.zip,,,,,https://b2b.triconville.com/media/cache/attachment/resize/336/product_gallery_main/63355bfa8a9ab355732764.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,63355bfa8a9ab355732764.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/63355bfa8a9ab355732764.jpg
AZC-10A,Alzette Stacking Armchair,configurable,B2B Dezign,Enabled,Alzette_Stacking_Armchair_3D.zip,Alzette_Stacking_Armchair_3DObject.zip,,,,https://b2b.triconville.com/media/cache/attachment/resize/324/product_gallery_main/633bfd8e071bc603891304.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,633bfd8e071bc603891304.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/633bfd8e071bc603891304.jpg
AZC-21,Alzette Side Chair,configurable,B2B Dezign,Enabled,Alzette_Side_Chair_3D.zip,Alzette_Side_Chair_3DObject.zip,,,,https://b2b.triconville.com/media/cache/attachment/resize/330/product_gallery_main/633bfd3c1a676193977062.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,633bfd3c1a676193977062.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/633bfd3c1a676193977062.jpg
GAZ-02,Gazelig Stacking Armchair Padded,configurable,B2B Dezign,Enabled,Gazelig_Stacking_Armchair_3D.zip,Gazelig_Stacking_Chair_3DObject.zip,,Gazelig_Stacking_Chair_sketchup.zip,,https://b2b.triconville.com/media/cache/attachment/resize/376/product_gallery_main/633d3caab6e10992292287.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,633d3caab6e10992292287.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/633d3caab6e10992292287.jpg
GAZ-01,Gazelig Dining Side Chair Padded,configurable,B2B Dezign,Enabled,Gazelig_Dining_Side_Chair_3D.zip,Gazelig_Dining_Side_Chair_3DObject.zip,,Gazelig_Dining_Side_Chair_sketchup.zip,,https://b2b.triconville.com/media/cache/attachment/resize/380/product_gallery_main/633d35d60ef5a501657793.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,633d35d60ef5a501657793.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/633d35d60ef5a501657793.jpg
GAZ-03,Gazelig Lounge Armchair Padded,configurable,B2B Dezign,Enabled,Gazelig_Lounge_Armchair_3D.zip,Gazelig_Lounge_Armchair_3DObject.zip,,Gazelig_Lounge_Armchair_sketchup.zip,,https://b2b.triconville.com/media/cache/attachment/resize/385/product_gallery_main/633671d706ead467715736.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,633671d706ead467715736.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/633671d706ead467715736.jpg
GAZ-05,Gazelig Lounge 2 Seater Padded,configurable,B2B Dezign,Enabled,Gazelig_Lounge_2_Seater_3D.zip,Gazelig_Lounge_2_Seater_3DObject.zip,,Gazelig_Lounge_2_Seater_sketchup.zip,,https://b2b.triconville.com/media/cache/attachment/resize/389/product_gallery_main/633aa88f9bb52540454036.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,633aa88f9bb52540454036.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/633aa88f9bb52540454036.jpg
GAZ-06,Gazelig Lounge 3 Seater Padded,configurable,B2B Dezign,Enabled,Gazelig_Lounge_3_Seater_3D.zip,Gazelig_Lounge_3_Seater_3DObject.zip,,Gazelig_Lounge_3_Seater_sketchup.zip,,https://b2b.triconville.com/media/cache/attachment/resize/393/product_gallery_main/633a59618fe6f188310132.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,633a59618fe6f188310132.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/633a59618fe6f188310132.jpg
GAZ-07,Gazelig Lounger No Arms Padded,configurable,B2B Dezign,Enabled,Gazelig_Lounger_No_Arms_3D.zip,Gazelig_Lounger_No_Arms_3DObject.zip,,Gazelig_Lounger_No_Arms_sketchup.zip,,https://b2b.triconville.com/media/cache/attachment/resize/398/product_gallery_main/63355d931ee34936628457.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,63355d931ee34936628457.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/63355d931ee34936628457.jpg
GAZ-07A,Gazelig Lounger With Arms Padded,configurable,B2B Dezign,Enabled,Gazelig_Lounger_With_Arms_3D.zip,Gazelig_Lounger_with_Arms_3DObject.zip,,Gazelig_Lounger_with_Arms_sketchup.zip,,https://b2b.triconville.com/media/cache/attachment/resize/402/product_gallery_main/63355d9941ace832961794.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,63355d9941ace832961794.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/63355d9941ace832961794.jpg
TRT,Siro Backless Bench,configurable,Dezign,Disabled,Siro_Backless_Bench_3D.zip,Siro_Backless_Bench_3DObject.zip,,,,https://dezigndistrict.com/pub/media/catalog/product/s/i/siro-backless-benc-190-front_1.png,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,siro-backless-benc-190-front_1.png,https://storage.googleapis.com/pimassest1/image/featured_image_global/siro-backless-benc-190-front_1.png
TRL-01,Siro Lounger,configurable,B2B Dezign,Enabled,Siro_Lounger_3D.zip,Siro_Lounger_3DObject.zip,,,,https://b2b.triconville.com/media/cache/attachment/resize/858/product_gallery_main/63355c99afc18022636317.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,63355c99afc18022636317.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/63355c99afc18022636317.jpg
SQC-01,Signature Quater Round Bench,configurable,B2B Dezign,Disabled,Signature_Quarter_Round_Bench_3D.zip,Signature_Quarter_Round_Bench_3DObject.zip,,,,https://dezigndistrict.com/pub/media/catalog/product/s/i/signature-quater-bench-1885_1.png,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,signature-quater-bench-1885_1.png,https://storage.googleapis.com/pimassest1/image/featured_image_global/signature-quater-bench-1885_1.png
SRT-136,Signature Round Dining Table,configurable,B2B Dezign,Enabled,Signature_Round_Table_3D.zip,Signature_Round_Table_3DObject.zip,,,,https://b2b.triconville.com/media/cache/attachment/resize/815/product_gallery_main/63465e8445894570205312.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,63465e8445894570205312.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/63465e8445894570205312.jpg
SGT-03,Siro Front Slide Extension Table,configurable,B2B Dezign,Enabled,Signature_Front_Slide_Extension_Table_3D.zip,Siro_Front_Slide_Extension_Table_3DObject.zip,,Siro_Front_Slide_Extension_Table_sketchup.zip,,https://dezigndistrict.com/pub/media/catalog/product/s/i/siro-ext-short-close-front_1.png,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,siro-ext-short-close-front_1.png,https://storage.googleapis.com/pimassest1/image/featured_image_global/siro-ext-short-close-front_1.png
SFC-01,Corona Single Seater,configurable,B2B Dezign,Enabled,Corona_Single_Seater_3D.rar,Corona_Single_Seater_3DObject.rar,,,,https://b2b.triconville.com/media/cache/attachment/resize/482/product_gallery_main/6336719926e03382298286.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,6336719926e03382298286.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/6336719926e03382298286.jpg
SFC-02,Corona 2 Seater,configurable,B2B Dezign,Enabled,Corona_2_Seater_3D.rar,Corona_2_Seater_3DObject.rar,,,,https://b2b.triconville.com/media/cache/attachment/resize/487/product_gallery_main/633aad2ec5716210187125.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,633aad2ec5716210187125.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/633aad2ec5716210187125.jpg
SFC-03,Corona 3 Seater,configurable,B2B Dezign,Enabled,Corona_3_Seater_3D.rar,Corona_3_Seater_3DObject.rar,,,,https://b2b.triconville.com/media/cache/attachment/resize/492/product_gallery_main/633a5279dd850925127169.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,633a5279dd850925127169.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/633a5279dd850925127169.jpg
COTT-01,Corona Ottoman,configurable,B2B Dezign,Enabled,Corona_Ottoman_3D.rar,Corona_Ottoman_3DObject.rar,,,,https://b2b.triconville.com/media/cache/attachment/resize/498/product_gallery_main/6347b9c57e53b079735939.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,6347b9c57e53b079735939.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/6347b9c57e53b079735939.jpg
DOT-01,Dotta Single Seater,configurable,B2B Dezign,Enabled,Dotta_Single_Seat_3D.zip,Dotta_Single_Seater_3DObject.zip,,,,https://b2b.triconville.com/media/cache/attachment/resize/437/product_gallery_main/61822f6dd46f2484974437.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,61822f6dd46f2484974437.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/61822f6dd46f2484974437.jpg
DOT-02,Dotta 2 Seater,configurable,B2B Dezign,Enabled,Dotta_2_Seater_3D.zip,Dotta_2_Seater_3DObject.zip,,,,https://b2b.triconville.com/media/cache/attachment/resize/441/product_gallery_main/61823062cf8fc931235641.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,61823062cf8fc931235641.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/61823062cf8fc931235641.jpg
DOT-03,Dotta 3 Seater,configurable,B2B Dezign,Enabled,Dotta_3_Seater_3D.zip,Dotta_3_Seater_3DObject.rar,,,,https://b2b.triconville.com/media/cache/attachment/resize/445/product_gallery_main/633a5fa1ef7a5808826590.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,633a5fa1ef7a5808826590.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/633a5fa1ef7a5808826590.jpg
DOT-04,Dotta Middle 1 Seater,configurable,B2B Dezign,Enabled,Dotta_Middle_1_Seater_3D.zip,Dotta_Middle_1_Seater_3DObject.zip,,,,https://b2b.triconville.com/media/cache/attachment/resize/418/product_gallery_main/61822ff83a85f935582404.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,61822ff83a85f935582404.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/61822ff83a85f935582404.jpg
DOT-07,Dotta Ottoman,configurable,B2B Dezign,Enabled,Dotta_Ottoman_3D.zip,Dotta_Ottoman_3DObject.zip,,,,https://b2b.triconville.com/media/cache/attachment/resize/434/product_gallery_main/618232ace2053461356699.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,618232ace2053461356699.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/618232ace2053461356699.jpg
DOT-05,Dotta Middle 2 Seater,configurable,B2B Dezign,Enabled,Dotta_Middle_2_Seater_3D.zip,Dotta_Middle_2_Seater_3DObject.rar,,,,https://b2b.triconville.com/media/cache/attachment/resize/422/product_gallery_main/618231671c44c298232001.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,618231671c44c298232001.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/618231671c44c298232001.jpg
DOT-MOD,Dotta Sectional,grouped,Dezign,Enabled,,Dotta_Sectional_3DObject.zip,,,,https://dezigndistrict.com/pub/media/catalog/product/d/o/dotta-config-technical-list_1.png,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,dotta-config-technical-list_1.png,https://storage.googleapis.com/pimassest1/image/featured_image_global/dotta-config-technical-list_1.png
GAZ-S-01,Geviner Recta Dining Table with Gazelig Dining Side Chair,grouped,Dezign,Disabled,,,,,,https://dezigndistrict.com/pub/media/catalog/product/g/a/gazeligset-front.png,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,gazeligset-front.png,https://storage.googleapis.com/pimassest1/image/featured_image_global/gazeligset-front.png
TRT-RECTA,Siro Rectangular Dining Table,configurable,Dezign,Enabled,Siro_Rectangular_Dining_Table_3D.zip,Siro_Rectangular_Dining_Table_3DObject.zip,,Siro_Rectangular_Dining_Table_sketchup.zip,,https://dezigndistrict.com/pub/media/catalog/product/s/i/siro-rect-dining-160-front-fix_1.png,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,siro-rect-dining-160-front-fix_1.png,https://storage.googleapis.com/pimassest1/image/featured_image_global/siro-rect-dining-160-front-fix_1.png
TRT-ROUND,Siro Round Dining Table,configurable,Dezign,Disabled,Siro_Round_Dining_Table_3D.zip,Siro_Round_Dining_Table_3DObject.zip,,,,https://dezigndistrict.com/pub/media/catalog/product/s/i/siro-round-dining-table-160-front_1.png,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,siro-round-dining-table-160-front_1.png,https://storage.googleapis.com/pimassest1/image/featured_image_global/siro-round-dining-table-160-front_1.png
BOR-01,Bora Single Seat,configurable,B2B Dezign,Disabled,Bora_Single_Seat_3D.zip,Bora_Single_Seater_3DObject.zip,,,,https://dezigndistrict.com/pub/media/catalog/product/b/o/bora-1seat-dimension-rev.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,bora-1seat-dimension-rev.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/bora-1seat-dimension-rev.jpg
BOR-02,Bora 2 Seater,configurable,B2B Dezign,Disabled,Bora_2_Seater_3D.zip,Bora_2_Seater_3DObject.zip,,,,https://dezigndistrict.com/pub/media/catalog/product/b/o/bora-2-seater-asteroid-front-copacobana182_1.png,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,bora-2-seater-asteroid-front-copacobana182_1.png,https://storage.googleapis.com/pimassest1/image/featured_image_global/bora-2-seater-asteroid-front-copacobana182_1.png
BOR-03,Bora 3 Seater,configurable,B2B Dezign,Disabled,Bora_3_Seater_3D.zip,,,,,https://dezigndistrict.com/pub/media/catalog/product/b/o/bora-3seat-dimension-rev.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,bora-3seat-dimension-rev.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/bora-3seat-dimension-rev.jpg
DOT-CT,Dottu Coffee Table,simple,B2B Dezign,Enabled,Dottu_Coffee_Table_3D.zip,Dottu_Coffee_Table_3DObject.zip,,,,https://dezigndistrict.com/pub/media/catalog/product/c/o/coffee-table_front-view.png,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,coffee-table_front-view.png,https://storage.googleapis.com/pimassest1/image/featured_image_global/coffee-table_front-view.png
DOT-ST,Dottu Side Table,simple,B2B Dezign,Enabled,Dottu_Side_Table_3D.zip,Dottu_Side_Table_3DObject.zip,,,,https://dezigndistrict.com/pub/media/catalog/product/s/i/side-table_front-view_2.png,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,side-table_front-view_2.png,https://storage.googleapis.com/pimassest1/image/featured_image_global/side-table_front-view_2.png
SNIX-01,Snix Single Seater,configurable,B2B Dezign,Enabled,Snix_Single_Seat_3D.zip,Snix_Single_Seater_3DObject.zip,,Snix_Single_Seat_sketchup.zip,,https://b2b.triconville.com/media/cache/attachment/resize/798/product_gallery_main/633555ca2c1d9707619725.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,633555ca2c1d9707619725.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/633555ca2c1d9707619725.jpg
SNIX-02,Snix 2 Seater,configurable,B2B Dezign,Enabled,Snix_2_Seater_3D.zip,Snix_2_Seater_3DObject.zip,,Snix_2_Seater_sketchup.zip,,https://b2b.triconville.com/media/cache/attachment/resize/802/product_gallery_main/5d3a72baa86ad840183419.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,5d3a72baa86ad840183419.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/5d3a72baa86ad840183419.jpg
SNIX-03,Snix 3 Seater,configurable,B2B Dezign,Enabled,Snix_3_Seater_3D.zip,Snix_3_Seater_3DObject.zip,,Snix_3_Seater_sketchup.zip,,https://b2b.triconville.com/media/cache/attachment/resize/806/product_gallery_main/633a580f30a5e551455327.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,633a580f30a5e551455327.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/633a580f30a5e551455327.jpg
SNIX-06,Snix Ottoman,configurable,B2B Dezign,Enabled,Snix_Ottoman_3D.zip,Snix_Ottoman_3DObject.zip,,,,https://b2b.triconville.com/media/cache/attachment/resize/786/product_gallery_main/5fc48fcf66913981566045.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,5fc48fcf66913981566045.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/5fc48fcf66913981566045.jpg
SNIX-ST,Snix Side Table,configurable,B2B Dezign,Enabled,Snix_Side_Table_3D.zip,Snix_Side_Table_3DObject.zip,,,,https://b2b.triconville.com/media/cache/attachment/resize/6665/product_gallery_main/633e8eb4a348e497127144.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,633e8eb4a348e497127144.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/633e8eb4a348e497127144.jpg
SNIX-CT,Snix Coffee Table,configurable,B2B Dezign,Enabled,Snix_Coffee_Table_3D.zip,Snix_Coffee_Table_3DObject.zip,,,,https://b2b.triconville.com/media/cache/attachment/resize/6653/product_gallery_main/633fefa5b19c6642370773.jpg,,https://storage.googleapis.com/pimassest1/image/featured_image_global/,633fefa5b19c6642370773.jpg,https://storage.googleapis.com/pimassest1/image/featured_image_global/633fefa5b19c6642370773.jpg
